episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
15,2158.4000000004216,5414,True,2158.4000000004216
16,1434.2999999998858,4742,True,1434.2999999998858
17,904.6499999999767,893,True,904.6499999999767
18,2113.349999999958,3321,True,2113.349999999958
19,2072.799999999972,1668,True,2072.799999999972
20,1242.4499999999555,1830,True,1242.4499999999555
21,1171.0499999999506,2315,True,1171.0499999999506
22,1135.249999999974,1225,True,1135.249999999974
23,1194.199999999886,3699,True,1194.199999999886
24,917.2999999999815,929,True,917.2999999999815
25,1888.6499999999357,2947,True,1888.6499999999357
1,1046.4500000000064,8183,True,1046.4500000000064
1,1550.4999999999113,4165,True,1550.4999999999113
1,660.7999999999975,2461,True,660.7999999999975
2,1476.5999999999133,3787,True,1476.5999999999133
3,1555.2999999999397,3139,True,1555.2999999999397
4,1716.699999999942,2077,True,1716.699999999942
5,2654.800000000081,4549,True,2654.800000000081
6,1810.7999999999495,3067,True,1810.7999999999495
7,839.499999999977,1297,True,839.499999999977
8,859.149999999983,903,True,859.149999999983
9,1105.4499999999437,2197,True,1105.4499999999437
10,1195.0499999999658,1235,True,1195.0499999999658
11,2107.7999999999874,3007,True,2107.7999999999874
12,762.0499999999715,1501,True,762.0499999999715
13,1451.7499999999327,3183,True,1451.7499999999327
14,1628.6499999999462,2606,True,1628.6499999999462
15,2266.250000000003,3907,True,2266.250000000003
16,1232.7999999999374,2820,True,1232.7999999999374
17,1500.8499999999271,2715,True,1500.8499999999271
18,1929.9999999999352,3755,True,1929.9999999999352
19,1840.1999999999132,5421,True,1840.1999999999132
20,577.7499999999961,2428,True,577.7499999999961
21,1080.5999999999124,3760,True,1080.5999999999124
22,1255.5999999999428,2301,True,1255.5999999999428
23,1283.0499999999681,1268,True,1283.0499999999681
24,1013.7499999999652,1313,True,1013.7499999999652
25,1146.649999999931,3871,True,1146.649999999931
1,1726.9999999999434,2367,True,1726.9999999999434
2,1419.9499999999634,1329,True,1419.9499999999634
3,2038.6499999999712,2517,True,2038.6499999999712
4,2025.4999999999784,3056,True,2025.4999999999784
5,1523.0999999999563,1744,True,1523.0999999999563
6,2380.5499999999897,3848,True,2380.5499999999897
7,1757.299999999933,3127,True,1757.299999999933
8,2006.8499999999583,3387,True,2006.8499999999583
9,2001.4000000000203,2535,True,2001.4000000000203
10,1989.049999999994,4404,True,1989.049999999994
11,1941.999999999992,4641,True,1941.999999999992
12,2144.000000000045,3846,True,2144.000000000045
13,1428.6499999999655,1473,True,1428.6499999999655
14,1628.6999999999077,3774,True,1628.6999999999077
15,1402.1499999999364,2906,True,1402.1499999999364
16,1127.8499999999453,2173,True,1127.8499999999453
17,1224.399999999954,2412,True,1224.399999999954
18,940.999999999978,1511,True,940.999999999978
19,1613.0999999999403,2181,True,1613.0999999999403
20,1437.999999999952,1859,True,1437.999999999952
21,1465.6499999999328,3668,True,1465.6499999999328
22,880.649999999948,1765,True,880.649999999948
23,1576.39999999994,3185,True,1576.39999999994
24,1426.94999999995,2017,True,1426.94999999995
25,1544.7499999999668,4313,True,1544.7499999999668
1,1953.649999999949,3022,True,1953.649999999949
2,1020.6999999999775,1509,True,1020.6999999999775
3,1244.2499999999654,2471,True,1244.2499999999654
4,233.35000000000468,853,True,233.35000000000468
5,2380.6500000000133,4151,True,2380.6500000000133
6,1988.149999999974,3910,True,1988.149999999974
7,2573.2000000000457,5136,True,2573.2000000000457
8,1585.499999999956,3863,True,1585.499999999956
9,1812.0499999999533,3240,True,1812.0499999999533
10,466.549999999995,571,True,466.549999999995
11,1785.7999999999674,2945,True,1785.7999999999674
12,2292.0999999999935,5214,True,2292.0999999999935
13,1280.9999999999666,1264,True,1280.9999999999666
14,2701.5500000001816,6583,True,2701.5500000001816
15,1813.999999999959,1985,True,1813.999999999959
16,1876.0999999999297,3362,True,1876.0999999999297
17,1698.4999999999281,3189,True,1698.4999999999281
18,1030.3999999999198,3289,True,1030.3999999999198
19,1339.4499999999466,2483,True,1339.4499999999466
20,1546.5999999998903,5209,True,1546.5999999998903
21,1277.6999999999362,2215,True,1277.6999999999362
22,1706.9499999999193,4234,True,1706.9499999999193
23,258.5000000000153,10793,True,258.5000000000153
24,1308.7999999998992,4100,True,1308.7999999998992
25,1923.7999999998797,5749,True,1923.7999999998797
1,1746.7999999999324,2832,True,1746.7999999999324
2,681.249999999854,9940,True,681.249999999854
3,1220.6499999999548,6083,True,1220.6499999999548
4,1032.29999999997,1847,True,1032.29999999997
5,1058.799999999958,5576,True,1058.799999999958
6,1195.249999999956,1970,True,1195.249999999956
7,1676.849999999927,3064,True,1676.849999999927
8,2065.349999999969,3211,True,2065.349999999969
9,1137.1499999999703,1849,True,1137.1499999999703
10,2015.899999999986,3924,True,2015.899999999986
11,796.2999999999738,1491,True,796.2999999999738
12,2391.700000000051,3884,True,2391.700000000051
13,1761.5999999999572,2173,True,1761.5999999999572
14,1283.1999999999512,2555,True,1283.1999999999512
15,1333.599999999949,2346,True,1333.599999999949
16,1489.449999999961,1577,True,1489.449999999961
17,2588.550000000054,2557,True,2588.550000000054
18,2055.00000000001,2896,True,2055.00000000001
19,2316.150000000007,2674,True,2316.150000000007
20,1051.6999999999314,3123,True,1051.6999999999314
21,1841.4999999999259,4445,True,1841.4999999999259
